zip_name,genre,clip_type,subfolder
SMALL_SAMPLES/garage_dubstep-Ghost Syndicate - Odyssey ΓÇô Deep Dubstep & Future Garage Sample Pack/GS_ODS_FX_One_Shots/GS_ODS_FX_Atmo_08.wav,garage_dubstep,oneshot,GS_ODS_FX_One_Shots
SMALL_SAMPLES/garage_dubstep-Ghost Syndicate - Odyssey ΓÇô Deep Dubstep & Future Garage Sample Pack/GS_ODS_FX_One_Shots/GS_ODS_FX_Atmo_09.wav,garage_dubstep,oneshot,GS_ODS_FX_One_Shots
SMALL_SAMPLES/garage_dubstep-Ghost Syndicate - Odyssey ΓÇô Deep Dubstep & Future Garage Sample Pack/GS_ODS_FX_One_Shots/GS_ODS_FX_Atmo_01.wav,garage_dubstep,oneshot,GS_ODS_FX_One_Shots
SMALL_SAMPLES/garage_dubstep-Ghost Syndicate - Odyssey ΓÇô Deep Dubstep & Future Garage Sample Pack/GS_ODS_FX_One_Shots/GS_ODS_FX_Atmo_02.wav,garage_dubstep,oneshot,GS_ODS_FX_One_Shots
SMALL_SAMPLES/garage_dubstep-Ghost Syndicate - Odyssey ΓÇô Deep Dubstep & Future Garage Sample Pack/GS_ODS_FX_One_Shots/GS_ODS_FX_Atmo_03.wav,garage_dubstep,oneshot,GS_ODS_FX_One_Shots
SMALL_SAMPLES/garage_dubstep-Ghost Syndicate - Odyssey ΓÇô Deep Dubstep & Future Garage Sample Pack/GS_ODS_FX_One_Shots/GS_ODS_FX_Atmo_07.wav,garage_dubstep,oneshot,GS_ODS_FX_One_Shots
SMALL_SAMPLES/garage_dubstep-Ghost Syndicate - Odyssey ΓÇô Deep Dubstep & Future Garage Sample Pack/GS_ODS_FX_One_Shots/GS_ODS_FX_Riser_02.wav,garage_dubstep,oneshot,GS_ODS_FX_One_Shots
SMALL_SAMPLES/garage_dubstep-Ghost Syndicate - Odyssey ΓÇô Deep Dubstep & Future Garage Sample Pack/GS_ODS_FX_One_Shots/GS_ODS_FX_Atmo_06.wav,garage_dubstep,oneshot,GS_ODS_FX_One_Shots
SMALL_SAMPLES/garage_dubstep-Ghost Syndicate - Odyssey ΓÇô Deep Dubstep & Future Garage Sample Pack/GS_ODS_FX_One_Shots/GS_ODS_FX_Atmo_04.wav,garage_dubstep,oneshot,GS_ODS_FX_One_Shots
SMALL_SAMPLES/garage_dubstep-Ghost Syndicate - Odyssey ΓÇô Deep Dubstep & Future Garage Sample Pack/GS_ODS_FX_One_Shots/GS_ODS_FX_Riser_01.wav,garage_dubstep,oneshot,GS_ODS_FX_One_Shots
SMALL_SAMPLES/garage_dubstep-Ghost Syndicate - Odyssey ΓÇô Deep Dubstep & Future Garage Sample Pack/GS_ODS_FX_One_Shots/GS_ODS_FX_Misc.wav,garage_dubstep,oneshot,GS_ODS_FX_One_Shots
SMALL_SAMPLES/garage_dubstep-Ghost Syndicate - Odyssey ΓÇô Deep Dubstep & Future Garage Sample Pack/GS_ODS_FX_One_Shots/GS_ODS_FX_Atmo_05.wav,garage_dubstep,oneshot,GS_ODS_FX_One_Shots
SMALL_SAMPLES/garage_dubstep-Ghost Syndicate - Odyssey ΓÇô Deep Dubstep & Future Garage Sample Pack/GS_ODS_Mixed_Percussion_Loops/GS_ODS_145_Mixed_Perc_Foley.wav,garage_dubstep,loop,GS_ODS_Mixed_Percussion_Loops
SMALL_SAMPLES/garage_dubstep-Ghost Syndicate - Odyssey ΓÇô Deep Dubstep & Future Garage Sample Pack/GS_ODS_Mixed_Percussion_Loops/GS_ODS_140_Mixed_01_Perc.wav,garage_dubstep,loop,GS_ODS_Mixed_Percussion_Loops
SMALL_SAMPLES/garage_dubstep-Ghost Syndicate - Odyssey ΓÇô Deep Dubstep & Future Garage Sample Pack/GS_ODS_Mixed_Percussion_Loops/GS_ODS_141_Mixed_Perc.wav,garage_dubstep,loop,GS_ODS_Mixed_Percussion_Loops
SMALL_SAMPLES/garage_dubstep-Ghost Syndicate - Odyssey ΓÇô Deep Dubstep & Future Garage Sample Pack/GS_ODS_Mixed_Percussion_Loops/GS_ODS_137_Mixed_Perc.wav,garage_dubstep,loop,GS_ODS_Mixed_Percussion_Loops
SMALL_SAMPLES/garage_dubstep-Ghost Syndicate - Odyssey ΓÇô Deep Dubstep & Future Garage Sample Pack/GS_ODS_Mixed_Percussion_Loops/GS_ODS_140_Mixed_02_Perc.wav,garage_dubstep,loop,GS_ODS_Mixed_Percussion_Loops
SMALL_SAMPLES/garage_dubstep-Ghost Syndicate - Odyssey ΓÇô Deep Dubstep & Future Garage Sample Pack/GS_ODS_Stripped_Drum_Loops/GS_ODS_140_Drums_02_Stripped.wav,garage_dubstep,loop,GS_ODS_Stripped_Drum_Loops
SMALL_SAMPLES/garage_dubstep-Ghost Syndicate - Odyssey ΓÇô Deep Dubstep & Future Garage Sample Pack/GS_ODS_Stripped_Drum_Loops/GS_ODS_138_Drums_Stripped.wav,garage_dubstep,loop,GS_ODS_Stripped_Drum_Loops
SMALL_SAMPLES/garage_dubstep-Ghost Syndicate - Odyssey ΓÇô Deep Dubstep & Future Garage Sample Pack/GS_ODS_Stripped_Drum_Loops/GS_ODS_140_Drums_05_Stripped.wav,garage_dubstep,loop,GS_ODS_Stripped_Drum_Loops
SMALL_SAMPLES/garage_dubstep-Ghost Syndicate - Odyssey ΓÇô Deep Dubstep & Future Garage Sample Pack/GS_ODS_Stripped_Drum_Loops/GS_ODS_145_Drums_Stripped.wav,garage_dubstep,loop,GS_ODS_Stripped_Drum_Loops
SMALL_SAMPLES/garage_dubstep-Ghost Syndicate - Odyssey ΓÇô Deep Dubstep & Future Garage Sample Pack/GS_ODS_Stripped_Drum_Loops/GS_ODS_140_Drums_04_Stripped.wav,garage_dubstep,loop,GS_ODS_Stripped_Drum_Loops
SMALL_SAMPLES/garage_dubstep-Ghost Syndicate - Odyssey ΓÇô Deep Dubstep & Future Garage Sample Pack/GS_ODS_Stripped_Drum_Loops/GS_ODS_140_Drums_03_Stripped.wav,garage_dubstep,loop,GS_ODS_Stripped_Drum_Loops
SMALL_SAMPLES/garage_dubstep-Ghost Syndicate - Odyssey ΓÇô Deep Dubstep & Future Garage Sample Pack/GS_ODS_Stripped_Drum_Loops/GS_ODS_141_Drums_Stripped.wav,garage_dubstep,loop,GS_ODS_Stripped_Drum_Loops
SMALL_SAMPLES/garage_dubstep-Ghost Syndicate - Odyssey ΓÇô Deep Dubstep & Future Garage Sample Pack/GS_ODS_Stripped_Drum_Loops/GS_ODS_137_Drums_Stripped.wav,garage_dubstep,loop,GS_ODS_Stripped_Drum_Loops
SMALL_SAMPLES/garage_dubstep-Ghost Syndicate - Odyssey ΓÇô Deep Dubstep & Future Garage Sample Pack/GS_ODS_Stripped_Drum_Loops/GS_ODS_140_Drums_01_Stripped.wav,garage_dubstep,loop,GS_ODS_Stripped_Drum_Loops
SMALL_SAMPLES/garage_dubstep-Ghost Syndicate - Odyssey ΓÇô Deep Dubstep & Future Garage Sample Pack/GS_ODS_Stripped_Drum_Loops/GS_ODS_140_Drums_06_Stripped.wav,garage_dubstep,loop,GS_ODS_Stripped_Drum_Loops
SMALL_SAMPLES/garage_dubstep-Ghost Syndicate - Odyssey ΓÇô Deep Dubstep & Future Garage Sample Pack/GS_ODS_Drum_Loops/GS_ODS_140_Drums_01_Full_V2.wav,garage_dubstep,loop,GS_ODS_Drum_Loops
SMALL_SAMPLES/garage_dubstep-Ghost Syndicate - Odyssey ΓÇô Deep Dubstep & Future Garage Sample Pack/GS_ODS_Drum_Loops/GS_ODS_141_Drums_Full.wav,garage_dubstep,loop,GS_ODS_Drum_Loops
SMALL_SAMPLES/garage_dubstep-Ghost Syndicate - Odyssey ΓÇô Deep Dubstep & Future Garage Sample Pack/GS_ODS_Drum_Loops/GS_ODS_138_Drums_Full.wav,garage_dubstep,loop,GS_ODS_Drum_Loops
SMALL_SAMPLES/garage_dubstep-Ghost Syndicate - Odyssey ΓÇô Deep Dubstep & Future Garage Sample Pack/GS_ODS_Drum_Loops/GS_ODS_137_Drums_Full_V2.wav,garage_dubstep,loop,GS_ODS_Drum_Loops
SMALL_SAMPLES/garage_dubstep-Ghost Syndicate - Odyssey ΓÇô Deep Dubstep & Future Garage Sample Pack/GS_ODS_Drum_Loops/GS_ODS_140_Drums_01_Full_V1.wav,garage_dubstep,loop,GS_ODS_Drum_Loops
SMALL_SAMPLES/garage_dubstep-Ghost Syndicate - Odyssey ΓÇô Deep Dubstep & Future Garage Sample Pack/GS_ODS_Drum_Loops/GS_ODS_137_Drums_Full_V1.wav,garage_dubstep,loop,GS_ODS_Drum_Loops
SMALL_SAMPLES/garage_dubstep-Ghost Syndicate - Odyssey ΓÇô Deep Dubstep & Future Garage Sample Pack/GS_ODS_Drum_Loops/GS_ODS_140_Drums_04_Full.wav,garage_dubstep,loop,GS_ODS_Drum_Loops
SMALL_SAMPLES/garage_dubstep-Ghost Syndicate - Odyssey ΓÇô Deep Dubstep & Future Garage Sample Pack/GS_ODS_Drum_Loops/GS_ODS_140_Drums_05_Full_V2.wav,garage_dubstep,loop,GS_ODS_Drum_Loops
SMALL_SAMPLES/garage_dubstep-Ghost Syndicate - Odyssey ΓÇô Deep Dubstep & Future Garage Sample Pack/GS_ODS_Drum_Loops/GS_ODS_140_Drums_05_Full_V1.wav,garage_dubstep,loop,GS_ODS_Drum_Loops
SMALL_SAMPLES/garage_dubstep-Ghost Syndicate - Odyssey ΓÇô Deep Dubstep & Future Garage Sample Pack/GS_ODS_Drum_Loops/GS_ODS_145_Drums_Full_V1.wav,garage_dubstep,loop,GS_ODS_Drum_Loops
