path,genre_gt,clip_type,duration_s,ok
/scratch/mk9649/repos/essentia_genre_test/data/audio/house/loop/0000__Drum_Loops__SM_SC_128_Transition_NoKick.wav,house,loop,,1
/scratch/mk9649/repos/essentia_genre_test/data/audio/house/loop/0001__Bass_Loops__SM_SC_129_Am_Knarz_Bass.wav,house,loop,,1
/scratch/mk9649/repos/essentia_genre_test/data/audio/house/loop/0002__Bass_Loops__SM_SC_126_Gm_Saved_Bass.wav,house,loop,,1
/scratch/mk9649/repos/essentia_genre_test/data/audio/house/loop/0003__Drum_Loops__SM_SC_128_Push_Percussion.wav,house,loop,,1
/scratch/mk9649/repos/essentia_genre_test/data/audio/house/loop/0004__Drum_Loops__SM_SC_126_Fantasy_Full.wav,house,loop,,1
/scratch/mk9649/repos/essentia_genre_test/data/audio/house/loop/0005__Drum_Loops__SM_SC_129_Jode_Clap.wav,house,loop,,1
/scratch/mk9649/repos/essentia_genre_test/data/audio/house/loop/0006__Drum_Loops__SM_SC_128_Transition_Clap.wav,house,loop,,1
/scratch/mk9649/repos/essentia_genre_test/data/audio/house/loop/0007__Drum_Loops__SM_SC_125_Follow_Snare.wav,house,loop,,1
/scratch/mk9649/repos/essentia_genre_test/data/audio/house/loop/0008__Drum_Loops__SM_SC_128_Huff_Percussion.wav,house,loop,,1
/scratch/mk9649/repos/essentia_genre_test/data/audio/house/loop/0009__Bass_Loops__SM_SC_128_Gm_Frontline_Bass.wav,house,loop,,1
/scratch/mk9649/repos/essentia_genre_test/data/audio/house/loop/0010__Drum_Loops__SM_SC_127_Arturo_Percussion.wav,house,loop,,1
/scratch/mk9649/repos/essentia_genre_test/data/audio/house/loop/0011__Synth_Music_Loops__SM_SC_129_Am_Starp_Synth.wav,house,loop,,1
/scratch/mk9649/repos/essentia_genre_test/data/audio/house/loop/0012__Synth_Music_Loops__SM_SC_128_F#_Plucker_Synth.wav,house,loop,,1
/scratch/mk9649/repos/essentia_genre_test/data/audio/house/loop/0013__Drum_Loops__SM_SC_128_Idol_Kick.wav,house,loop,,1
/scratch/mk9649/repos/essentia_genre_test/data/audio/house/loop/0014__Bass_Loops__SM_SC_128_F#_Squarepants_Bass.wav,house,loop,,1
/scratch/mk9649/repos/essentia_genre_test/data/audio/house/loop/0015__Drum_Loops__SM_SC_127_Arturo_NoKick.wav,house,loop,,1
/scratch/mk9649/repos/essentia_genre_test/data/audio/house/loop/0016__Drum_Loops__SM_SC_127_Welan_Hats.wav,house,loop,,1
/scratch/mk9649/repos/essentia_genre_test/data/audio/house/loop/0017__Bass_Loops__SM_SC_127_Am_Katapult_Bass.wav,house,loop,,1
/scratch/mk9649/repos/essentia_genre_test/data/audio/house/loop/0018__Bass_Loops__SM_SC_127_Am_Forever_Bass.wav,house,loop,,1
/scratch/mk9649/repos/essentia_genre_test/data/audio/house/loop/0019__Bass_Loops__SM_SC_128_Fm_Youkei_Bass.wav,house,loop,,1
/scratch/mk9649/repos/essentia_genre_test/data/audio/house/loop/0020__Drum_Loops__SM_SC_128_Sharp_Clap.wav,house,loop,,1
/scratch/mk9649/repos/essentia_genre_test/data/audio/house/loop/0021__Drum_Loops__SM_SC_128_Wayback_Clap.wav,house,loop,,1
/scratch/mk9649/repos/essentia_genre_test/data/audio/house/loop/0022__Drum_Loops__SM_SC_125_Distord909_Kick.wav,house,loop,,1
/scratch/mk9649/repos/essentia_genre_test/data/audio/house/loop/0023__Drum_Loops__SM_SC_127_Snappy_NoKick.wav,house,loop,,1
/scratch/mk9649/repos/essentia_genre_test/data/audio/house/loop/0024__Synth_Music_Loops__SM_SC_129_Am_Step_Synth.wav,house,loop,,1
